employeeId,name,email,contact,department,designation,officeHours
L029,Mr. Ugyen Wangdi,ugyen.wangdi@cst.edu.bt,+975-5-336429,Electronics Engineering,LECTURER,Mon–Wed 13:00–15:00
L030,Ms. Choden Lhamo,choden.lhamo@cst.edu.bt,+975-5-336430,Electronics Engineering,LECTURER,Mon–Fri 9:00–11:00
L031,Dr. Namgay Tshering,namgay.tshering.l@cst.edu.bt,+975-5-336431,Instrumentation Engineering,HEAD_OF_DEPARTMENT,Mon–Fri 9:00–12:00
L032,Mr. Sonam Dorji,sonam.dorji.l@cst.edu.bt,+975-5-336432,Instrumentation Engineering,SENIOR_LECTURER,Mon–Thu 14:00–17:00
L033,Ms. Kinley Wangmo,kinley.wangmo.l@cst.edu.bt,+975-5-336433,Instrumentation Engineering,LECTURER,Tue–Fri 10:00–12:00
L034,Mr. Rinchen Dorji,rinchen.dorji.l@cst.edu.bt,+975-5-336434,Instrumentation Engineering,LECTURER,Mon–Wed 13:00–15:00
L035,Ms. Pema Yangzom,pema.yangzom@cst.edu.bt,+975-5-336435,Instrumentation Engineering,LECTURER,Mon–Fri 9:00–11:00
L036,Dr. Tashi Dorji,tashi.dorji.l@cst.edu.bt,+975-5-336436,Architecture,HEAD_OF_DEPARTMENT,Mon–Fri 9:00–12:00
L037,Mr. Karma Tshering,karma.tshering.l@cst.edu.bt,+975-5-336437,Architecture,SENIOR_LECTURER,Mon–Thu 14:00–17:00
L038,Ms. Deki Pem,deki.pem@cst.edu.bt,+975-5-336438,Architecture,LECTURER,Tue–Fri 10:00–12:00
L039,Mr. Jigme Tshering,jigme.tshering.l@cst.edu.bt,+975-5-336439,Architecture,LECTURER,Mon–Wed 13:00–15:00
L040,Ms. Yangchen Dorji,yangchen.dorji@cst.edu.bt,+975-5-336440,Architecture,LECTURER,Mon–Fri 9:00–11:00
L041,Dr. Dorji Namgay,dorji.namgay@cst.edu.bt,+975-5-336441,Water Resource Engineering,HEAD_OF_DEPARTMENT,Mon–Fri 9:00–12:00
L042,Mr. Tshering Wangchuk,tshering.wangchuk.l@cst.edu.bt,+975-5-336442,Water Resource Engineering,SENIOR_LECTURER,Mon–Thu 14:00–17:00
L043,Ms. Chimi Wangmo,chimi.wangmo.l@cst.edu.bt,+975-5-336443,Water Resource Engineering,LECTURER,Tue–Fri 10:00–12:00
L044,Mr. Phuntsho Tshering,phuntsho.tshering@cst.edu.bt,+975-5-336444,Water Resource Engineering,LECTURER,Mon–Wed 13:00–15:00
L045,Ms. Norbu Lhamo,norbu.lhamo@cst.edu.bt,+975-5-336445,Water Resource Engineering,LECTURER,Mon–Fri 9:00–11:00
L046,Dr. Sangay Dorji,sangay.dorji.l@cst.edu.bt,+975-5-336446,Geology,HEAD_OF_DEPARTMENT,Mon–Fri 9:00–12:00
L047,Mr. Pema Tshering,pema.tshering.l@cst.edu.bt,+975-5-336447,Geology,SENIOR_LECTURER,Mon–Thu 14:00–17:00
L048,Ms. Karma Wangmo,karma.wangmo@cst.edu.bt,+975-5-336448,Geology,LECTURER,Tue–Fri 10:00–12:00
L049,Mr. Tenzin Namgay,tenzin.namgay@cst.edu.bt,+975-5-336449,Geology,LECTURER,Mon–Wed 13:00–15:00
L050,Ms. Dawa Choden,dawa.choden@cst.edu.bt,+975-5-336450,Geology,LECTURER,Mon–Fri 9:00–11:00
